record_type,source,tip_or_object,classification,retained_or_destination,verification,disposition
remote-ref,refs/heads/feature/panel-physics-calibration-wip,4df5cc5698be7605db0319c5157838d72c4e32cd,active-proposal,refs/heads/feature/panel-physics-calibration-wip,exact-sha-and-pr-12,retain-draft
remote-ref,refs/heads/feature/training-panel-v3-notifications,83f4ec3ce46bc04abda66559bafa50cd58d47ab9,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/feature/training-panel,dad9852d32ee365d4c11c3155d6faca70b1a52da,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/feature/velocity-tracking-visualization,795e1ee339b95fadd750b27b5f39f82fbb868704,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/feature/windows-remote-launcher,82d801f9ab91c1d6fdef52ede402847781ae959b,merged,refs/heads/main@8d17dbf7976a88d2978a0e9b41245d80bec40fd7,ancestor,remote-topic-deleted
remote-ref,refs/heads/fix-pyramid-terrain,288ac7a23fe090364e939601d4b4b3fb50830e38,significant-unmatched,refs/heads/archive/legacy/fix-pyramid-terrain,exact-sha,delete-source-retain-archive
remote-ref,refs/heads/fix/review-2026-07,38065c307a9a321f537ddb02be09dd128ba7e54c,merged,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/improve-structure-comments,2be745df9d1b95156bafe32696511f4600b7029b,significant-unmatched,refs/heads/archive/legacy/improve-structure-comments,exact-sha,delete-source-retain-archive
remote-ref,refs/heads/multi-task-train,eca15ea81ed844a10df16280064e0fd4cad92d6c,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/optimized-version,4751e6c0ebe0d8c6321047f919d4eaf4b95976f8,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/parameter-modified,6d44a844f2392102e36bb3d6ce658ae6d6b8086f,significant-unmatched,refs/heads/archive/legacy/parameter-modified,exact-sha,delete-source-retain-archive
remote-ref,refs/heads/popcorn-test,28b04f3e4eb46e31d5149d8db37bdda08aaa8763,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/single-direction-training,0d644840b96bafa79de27fe4359707261b817bfd,redundant,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/ultra-optimized-version,4751e6c0ebe0d8c6321047f919d4eaf4b95976f8,duplicate,refs/heads/main,ancestor,delete-after-protection
remote-ref,refs/heads/wasd-control,f0e12763c47a88fcd1cb824e84b726997cc2ce7e,redundant,refs/heads/main,ancestor,delete-after-protection
local-ref,refs/heads/main,451de2ad835051985dd36e46513669380eb11941,stale-pointer,refs/remotes/origin/main,fast-forward,replaced-with-origin-main
local-ref,refs/heads/Fast-forward,af77272a23d04e0d1b24305e38b688e07a3b1dea,redundant,refs/heads/main,ancestor,delete-after-contraction
local-ref,refs/heads/codex/deploy-readiness-panel,277df2fa71c63045ed0cb84c02d59941798f29a9,redundant,refs/heads/main,ancestor,delete-after-contraction
local-ref,refs/heads/docs/documentation-system-v1,c0bc9d8da17c552b59fb86740f9a50c0255fb540,merged,refs/heads/main,ancestor,delete-after-worktree-removal
local-ref,refs/heads/feat/panel-3.5,7696ba51fdec49f98ff5d0324e19a305b9e31fdb,source-ancestor,refs/heads/feature/training-panel-v3.6,ancestor,delete-after-contraction
local-ref,refs/heads/feat/panel-3.6-torsion-integration,8f1dc0868465ec6e70e24aea0705f02735aa2d2c,source,refs/heads/archive/source/panel-torsion-integration-2026-08-13,exact-sha,delete-after-worktree-removal
local-ref,refs/heads/feat/panel-3.6-ux,6153e9899ab03c8ddeb2916299d6e6f7c02a1212,source,refs/heads/archive/source/panel-v3.6-ux-2026-08-13,exact-sha,delete-after-contraction
local-ref,refs/heads/feat/torsion-spring,5de7b6da70a21f69e46bf2d077ff24ff5a22a622,source,refs/heads/archive/source/torsion-spring-2026-08-13,exact-sha,delete-after-contraction
local-ref,refs/heads/feature/sim2real-calibration-mvp,bb3aad7952646755c6ad5fb7447945cfd60baf5f,source,refs/heads/archive/source/sim2real-calibration-mvp-2026-08-13,exact-sha,delete-after-worktree-removal
local-ref,refs/heads/feature/training-panel-v3-notifications,83f4ec3ce46bc04abda66559bafa50cd58d47ab9,redundant,refs/heads/main,ancestor,delete-after-contraction
local-ref,refs/heads/feature/training-panel,dad9852d32ee365d4c11c3155d6faca70b1a52da,redundant,refs/heads/main,ancestor,delete-after-contraction
local-ref,refs/heads/feature/macos-remote-launcher,4fc7295b2c02363bdc62c78ade865672b9acd849,merged,refs/heads/main@55e6611008e4ec7c0508cd4be1d1e639de42655b,ancestor,delete-after-worktree-removal
local-ref,refs/heads/feature/student-distillation-v2,b46e6ac60ee44e8456900751399834d6387909fd,merged,refs/heads/main@b66d3760ffeffd1c0f95c1b9bb018ec797bb0357,ancestor,delete-after-worktree-removal
local-ref,refs/heads/feature/panel-physics-calibration-wip,4df5cc5698be7605db0319c5157838d72c4e32cd,active-proposal,refs/heads/feature/panel-physics-calibration-wip,exact-sha-and-pr-12,retain-worktree
local-ref,refs/heads/feature/windows-remote-launcher,82d801f9ab91c1d6fdef52ede402847781ae959b,merged,refs/heads/main@8d17dbf7976a88d2978a0e9b41245d80bec40fd7,ancestor,delete-after-worktree-removal
local-ref,refs/heads/fix/documentation-site-count,5ba5fd1008261a2d74aeab2fb833c30696ff6931,merged,refs/heads/main,ancestor,delete-after-worktree-removal
local-ref,refs/heads/fix/review-2026-07,5de992d7afac77e566b6deebb99dc813eb87b612,redundant,refs/heads/main,ancestor,delete-after-contraction
local-ref,refs/heads/reboot/core-sim-first,f40d3c26ce5b792d02117480a510d6fe7cecb86d,proposal-source,refs/heads/proposal/core-sim-first,exact-sha,rename-local-after-worktree-move
local-ref,refs/heads/recovery/2026-08-13/panel-windows-dirty,5b3b997084507564bd2e6db8430fe36899274e6a,recovery,refs/heads/archive/recovery/2026-08-13/panel-windows-dirty,exact-sha,delete-after-root-preservation
local-ref,refs/heads/recovery/2026-08-13/panel-windows-stash,f8b04b60fd3a385d5bdc4eae8634eea2c5d94d4b,recovery,refs/heads/archive/recovery/2026-08-13/panel-windows-stash,exact-sha,delete-after-worktree-removal
local-ref,refs/heads/recovery/2026-08-13/sim2real-dirty,d2b88913effc19cdbb696e9f5fac31f9fc04170d,recovery,refs/heads/archive/recovery/2026-08-13/sim2real-dirty,exact-sha,delete-after-worktree-removal
local-ref,refs/heads/recovery/2026-08-13/torsion-dirty,cbd1be6a1b2a012c5c9cd704a523c8352a96451e,recovery,refs/heads/archive/recovery/2026-08-13/torsion-dirty,exact-sha,delete-after-worktree-removal
stash-object,stash@{0},a33dceda4890c290e8cb23ad00b10757b228bfbd,recovery,refs/heads/archive/recovery/2026-08-13/original-stash-object,exact-sha-and-three-parents,drop-after-contraction
bundle,.worktrees/branch-reorg-recovery-2026-08-13.bundle,fbb10c25f87c87fa34c7360c2baf73508c6d31d3c38ffef5d3a3c50250bf86d2,recovery-bundle,local-bundle,git-bundle-verify,retain-through-final-audit
bundle,.worktrees/research-roadmap-report-2026-08-13.bundle,4c8eec2f76357d1cc6b0fcea929efd2712acc437f79e3bb13b208a2e4f6585db,generated-research-report-bundle,refs/heads/recovery/2026-08-13/research-roadmap-report,git-bundle-verify-complete-history,retain-local-do-not-publish
local-ref,refs/heads/recovery/2026-08-13/root-wip-pre-main-sync,8a6d5d2d28d940fab62d20bfd6141e54dd7eb9c4,root-recovery,local-recovery-ref,exact-snapshot,retain-local-do-not-publish
bundle,.worktrees/root-wip-pre-main-sync-2026-08-13.bundle,93915814e54c115282274337f4d65fc0ee1e37f808b294db835461064a8baaa2,root-recovery-bundle,refs/heads/recovery/2026-08-13/root-wip-pre-main-sync,git-bundle-verify,retain-local-do-not-publish
local-ref,refs/heads/recovery/2026-08-14/root-post-snapshot-wip,13f0549ac3d3de23a56a09355ac21781993a1d19,partial-student-f0-recovery,local-recovery-ref,exact-snapshot,retain-local-do-not-publish
bundle,.worktrees/root-post-snapshot-wip-2026-08-14.bundle,606a778293e9eafa9a13c9ab2371651be6d9c9e994b0fca3203322651869b438,partial-student-f0-recovery-bundle,refs/heads/recovery/2026-08-14/root-post-snapshot-wip,git-bundle-verify,retain-local-do-not-publish
local-ref,refs/heads/recovery/2026-08-14/root-f0-f1-wip,a95991621a55c62fb8b67660471285c2c3aebd75,student-f0-f1-wip-recovery,local-recovery-ref,exact-snapshot,retain-local-do-not-publish
bundle,.worktrees/root-f0-f1-wip-2026-08-14.bundle,66b6c7579ae2e6277d3229a487c29479cfb254afdc31a01dacd6007453e6e61d,student-f0-f1-wip-recovery-bundle,refs/heads/recovery/2026-08-14/root-f0-f1-wip,git-bundle-verify-complete-history,retain-local-do-not-publish
dirty-path,5b3b997:docs/superpowers/plans/2026-08-01-windows-remote-launcher.md,5b3b997084507564bd2e6db8430fe36899274e6a,temporary-plan,docs/designs/active-and-docs/plans/active,canonical-pair-validated,migrated
dirty-path,5b3b997:tools/training_panel/reward_presets.json,5b3b997084507564bd2e6db8430fe36899274e6a,accidental-runtime-state,0426e860456d4a6ce00932df732b62a182d44434,hunk-audited,removed-on-panel-branch
dirty-path,5b3b997:tools/training_panel/tests/test_deploy.py,5b3b997084507564bd2e6db8430fe36899274e6a,panel-fix,a855da00fa483a20cb0867f810b921d51ceb0f98,hunk-audited,applied
dirty-path,5b3b997:tools/training_panel/tests/test_server_errors.py,5b3b997084507564bd2e6db8430fe36899274e6a,panel-fix,a855da00fa483a20cb0867f810b921d51ceb0f98,exact-content,applied
dirty-path,5b3b997:tools/training_panel/training_panel/deploy.py,5b3b997084507564bd2e6db8430fe36899274e6a,panel-fix,a855da00fa483a20cb0867f810b921d51ceb0f98,hunk-audited,applied
dirty-path,5b3b997:tools/training_panel/training_panel/server.py,5b3b997084507564bd2e6db8430fe36899274e6a,panel-fix,a855da00fa483a20cb0867f810b921d51ceb0f98,hunk-audited,applied
dirty-path,5b3b997:tools/windows/README.md,5b3b997084507564bd2e6db8430fe36899274e6a,component-documentation,d5a934bce90e808206afb4e8fef583b6abf128a2,content-migrated-to-router-and-pair,migrated
dirty-path,5b3b997:tools/windows/redrhex_remote.ps1,5b3b997084507564bd2e6db8430fe36899274e6a,windows-implementation,112e676f1f600cdc53df9c6fc228b053614e34b3,exact-blob,applied
dirty-path,5b3b997:tools/windows/tests/test_redrhex_remote.ps1,5b3b997084507564bd2e6db8430fe36899274e6a,windows-test,112e676f1f600cdc53df9c6fc228b053614e34b3,exact-blob,applied
dirty-path,cbd1be6:scripts/rsl_rl/__pycache__/cli_args.cpython-311.pyc,cbd1be6a1b2a012c5c9cd704a523c8352a96451e,generated-bytecode,refs/heads/archive/recovery/2026-08-13/torsion-dirty,recovery-only,excluded-from-feature
dirty-path,cbd1be6:tools/training_panel/reward_presets.json,cbd1be6a1b2a012c5c9cd704a523c8352a96451e,duplicate-runtime-state,0426e860456d4a6ce00932df732b62a182d44434,hunk-audited,applied-on-panel-branch
dirty-path,d2b8891:scripts/rsl_rl/__pycache__/cli_args.cpython-311.pyc,d2b88913effc19cdbb696e9f5fac31f9fc04170d,generated-bytecode,refs/heads/archive/recovery/2026-08-13/sim2real-dirty,recovery-only,excluded-from-feature
stash-hunk,a33dced:docs/superpowers/plans/2026-08-01-windows-remote-launcher.md,a33dceda4890c290e8cb23ad00b10757b228bfbd,temporary-plan,docs/designs/active-and-docs/plans/active,canonical-pair-validated,migrated
stash-hunk,a33dced:tools/training_panel/reward_presets.json,a33dceda4890c290e8cb23ad00b10757b228bfbd,duplicate-runtime-state,0426e860456d4a6ce00932df732b62a182d44434,hunk-audited,applied-once
stash-hunk,a33dced:tools/training_panel/static/app.js,a33dceda4890c290e8cb23ad00b10757b228bfbd,panel-ux-duplicate,refs/heads/archive/source/panel-v3.6-ux-2026-08-13,reverse-apply-clean,already-present
stash-hunk,a33dced:tools/training_panel/static/index.html,a33dceda4890c290e8cb23ad00b10757b228bfbd,panel-ux-duplicate,refs/heads/archive/source/panel-v3.6-ux-2026-08-13,reverse-apply-clean,already-present
stash-hunk,a33dced:tools/training_panel/ui_tests/test_local_panel_ui.py,a33dceda4890c290e8cb23ad00b10757b228bfbd,panel-test-duplicate,refs/heads/feature/training-panel-v3.6,all-added-lines-present,already-present
stash-hunk,a33dced:tools/windows/README.md,a33dceda4890c290e8cb23ad00b10757b228bfbd,component-documentation,d5a934bce90e808206afb4e8fef583b6abf128a2,content-migrated-to-router-and-pair,migrated
stash-hunk,a33dced:tools/windows/redrhex_remote.ps1,a33dceda4890c290e8cb23ad00b10757b228bfbd,windows-implementation,112e676f1f600cdc53df9c6fc228b053614e34b3,exact-blob,applied
worktree-path,root:docs/reports,02ebb53b32ff385fc0e8c36ef75e88ba8d944f70,generated-research-report,refs/heads/recovery/2026-08-13/research-roadmap-report;docs/research/2026-08-13-research-readiness-audit.*,secret-scan-clean;canonical-migration-2dff78e2410350defcf1603b9ca67f09bec030d3,local-recovery-and-bundle-preserved-publication-declined
