source_path,source_line,heading_level,source_heading,disposition,replacement_ids,removal_commit
docs/2026_Midterm.md,1,1,RedRHex 2026 期中報告,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,9,2,1. 這次我做了什麼,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,36,2,2. 我怎麼從文獻推導出這次改革,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,45,3,"2.1 ETH RSL — Learning Robust Perceptive Locomotion (Miki et al., 2022)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,86,3,"2.2 ETH RSL — ANYmal Parkour (Hoeller et al., 2024)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,125,3,"2.3 UC Berkeley / CMU — RMA: Rapid Motor Adaptation (Kumar et al., 2021)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,171,3,"2.4 CMU — Extreme Parkour (Cheng et al., 2023)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,210,3,"2.5 KAIST — DreamWaQ (Nahrendra et al., 2023)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,249,3,"2.6 CTS — Concurrent Teacher-Student (Wang et al., 2024)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,289,3,"2.7 ETH RSL — Symmetry-aware RL (Mittal et al., 2024)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,314,3,2.8 UC Berkeley Hybrid Robotics — Morphological Symmetry (IROS 2024),migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,336,3,"2.9 ETH RSL — Actuator Network / Sim-to-Real Actuation Awareness (Hwangbo et al., 2019)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,361,3,2.10 NVIDIA / Boston Dynamics — Spot locomotion in Isaac Lab (2024),migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,389,3,"2.11 MPC vs RL Benchmark (Akki & Chen, 2025)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,412,3,"2.12 EPFL BioRob — CPG-RL (Bellegarda & Ijspeert, 2022)",migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,442,2,3. 我對原始 RedRHex codebase 的診斷,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,469,2,4. 這次我實際改了哪些程式,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,473,3,4.1 地形課程與 rough terrain generator,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,506,3,4.2 致動器 realism：從理想隱式驅動改為 DCMotor,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,540,3,4.3 History actor + privileged critic + teacher observation,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,594,3,4.4 腿級別 domain randomization 與故障注入,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,630,3,4.5 左右對稱資料增強,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,661,3,4.6 新的 PPO、teacher、distillation 訓練配置,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,719,3,4.7 驗證與閉環工具,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,745,3,4.8 小型修補：diagnostic cap,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,765,2,5. 現在 reward 與權重是怎麼設定的,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,773,3,5.1 reward 設計哲學,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,778,3,5.2 主要 reward 權重,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,802,3,5.3 能效 reward,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,835,3,5.4 ForwardFast 設定,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,850,2,6. 機器人到底用到了哪些資料，為什麼它拿得到,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,854,3,6.1 部署期 actor 可用資料,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,881,3,6.2 訓練期 privileged 資料,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,913,2,7. 驗證方法、命令與結果,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,917,3,7.1 驗證命令,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,919,4,A. 基本環境 smoke,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,931,4,B. PPO smoke,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,946,4,C. Teacher + Distillation smoke,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,962,3,7.2 實際結果,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,964,4,A. 基本環境 smoke,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,994,4,B. PPO smoke,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1019,4,C. Teacher + Distillation smoke,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1064,2,8. 這次改革「有沒有達到成效」,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1066,3,8.1 已經被驗證的成效,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1085,3,8.2 還不能過度宣稱的地方,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1095,3,8.3 為什麼我仍然認為這次改革是有效的,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1113,2,9. 我建議的下一階段實驗,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1115,3,9.1 必做,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1147,4,9.1.1 可直接照抄的完整操作流程,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1250,3,9.2 要量的指標,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1260,3,9.3 如果你要對標 MPC,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1274,2,10. 本次修改檔案總表,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1287,2,11. 參考來源,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/2026_Midterm.md,1335,2,12. 總結,migrated,system-architecture;training-policy-architecture;reward-energy-model;training-stack-evidence-2026-07;locomotion-literature;project-roadmap,
docs/COMMANDS.md,0,0,<document>,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,1,1,RedRHex 新 Ubuntu 操作指令,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,7,2,1. 這台機器的固定路徑,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,29,2,2. 每次開新終端機先做這段,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,47,2,3. 第一次 setup 或換機器後要做,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,49,3,3.1 安裝 RedRHex package,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,58,3,3.2 安裝並拉 Git LFS 資源,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,81,2,4. 驗證環境是否接好,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,83,3,4.1 確認 Isaac Lab launcher 使用正確 Python,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,95,3,4.2 列出 RedRHex task,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,109,2,5. 開始 train,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,111,3,5.1 最小 smoke test,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,124,3,5.1.1 一鍵 disposable smoke pipeline,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,165,3,5.2 小規模 debug train,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,178,3,5.3 正式 train,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,201,2,6. 從 checkpoint 繼續 train,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,241,2,7. 開始 play,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,243,3,7.1 GUI 播放單一模型,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,253,3,7.2 播放最新 run 的最新 checkpoint,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,274,3,7.3 Headless 錄影播放,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,299,2,8. TensorBoard,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,314,2,8.1 Training Panel,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,365,2,9. 目前這台機器已驗證到哪裡,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,381,2,10. 常見錯誤,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,383,3,`ModuleNotFoundError: No module named 'isaaclab'`,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,394,3,`ModuleNotFoundError: No module named 'pxr'`,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,402,3,`RedRhex.usd` 打不開或只有 130 bytes,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,412,3,`tabs: terminal type 'dumb' cannot reset tabs`,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,418,3,CUDA out of memory,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/COMMANDS.md,428,2,11. 最短版每日流程,migrated,command-reference;operator-getting-started;operator-launch-training;operator-monitor-training;operator-play-export-video;runtime-layout;operator-training-troubleshooting,
docs/energy_aware_reward_integration_report.md,0,0,<document>,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,1,1,RedRhex 彈簧腿節能 RL Reward 整合報告,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,15,2,目錄,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,30,2,1. 研究問題重述,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,32,3,1.1 RedRhex 的關節架構與物理角色,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,47,3,1.2 核心研究問題,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,60,3,1.3 為什麼不能只靠一般 locomotion reward,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,82,2,2. 物理與數學推導,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,84,3,2.1 關節角度與角速度,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,107,3,2.2 關節力矩,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,109,4,2.2.1 Main drive：速度控制器,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,127,4,2.2.2 ABAD：位置控制器,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,148,4,2.2.3 Spring/damper：被動關節,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,174,3,2.3 瞬時機械功率,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,202,3,2.4 單步與單回合機械能,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,218,3,2.5 電流、電功率與電能估計,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,252,3,2.6 彈簧位能、彈簧功率與阻尼耗散,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,296,3,2.7 CoT、回收效率與單位運動能耗,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,298,4,2.7.1 等效運動速度,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,311,4,2.7.2 Cost of Transport proxy,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,319,4,2.7.3 Spring recovery ratio,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,334,4,2.7.4 Spring utilization,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,342,3,2.8 哪些適合 reward、哪些只適合 diagnostics,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,357,2,3. 模擬 / 真機感測映射,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,359,3,3.1 Isaac Lab / Isaac Sim 中可取得的量,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,377,3,3.2 真機中的對應方式,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,388,3,3.3 力矩估計的三層方案,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,390,4,Ideal,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,398,4,Practical,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,406,4,Fallback,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,419,3,3.4 接觸與彈簧壓縮量的 proxy 風險,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,432,2,4. Reward 設計,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,434,3,4.1 設計哲學：平衡型 reward,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,444,3,4.2 目前實作的四個節能相關 reward 項,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,446,4,E1. Power Efficiency,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,463,4,E2. Spring Recovery,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,491,4,E3. Spring Utilization,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,510,4,E4. Torque Penalty,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,524,3,4.3 正向 spring reward 的 gating 機制,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,545,3,4.4 diagnostics 與 TensorBoard 指標,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,566,3,4.5 Reward hacking 風險與緩解,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,578,2,5. `redrhex_env_cfg.py` 修改版,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,582,3,5.1 `v2_reward_scales` 新增的節能權重,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,599,3,5.2 新增的物理常數與估測參數,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,614,3,5.3 ForwardFast 的保守版本,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,637,2,6. `redrhex_env.py` 修改版,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
docs/energy_aware_reward_integration_report.md,641,3,6.1 `_setup_buffers()` 中新增的內部狀態,migrated,reward-energy-model;training-stack-evidence-2026-07;environment-reward-development;developer-validation,
